propertyCid,dataGroupCid,dataCid,filePath,uploadedAt
bafkreiepon5udb7ekskmmywzlxyn5bkicw33jed63wu2ic3a6qj3bkn4ty,bafkreicejtlqsmjzaz7wo2rfp7wdfihuayyl3x342z3evr46t6qym4h6be,bafkreiepon5udb7ekskmmywzlxyn5bkicw33jed63wu2ic3a6qj3bkn4ty,"/content/output/52434205310037080/bafkreicejtlqsmjzaz7wo2rfp7wdfihuayyl3x342z3evr46t6qym4h6be.json",2025-07-22T14:59:46.733Z
bafkreif6myl6xdmu6nnm52xeafzd5jtcppzxqruq73ysax5hqexrccxkbe,bafkreicejtlqsmjzaz7wo2rfp7wdfihuayyl3x342z3evr46t6qym4h6be,bafkreif6myl6xdmu6nnm52xeafzd5jtcppzxqruq73ysax5hqexrccxkbe,"/content/output/30434108090030050/bafkreicejtlqsmjzaz7wo2rfp7wdfihuayyl3x342z3evr46t6qym4h6be.json",2025-07-22T14:59:46.904Z 
