propertyCid,dataGroupCid,dataCid,filePath,uploadedAt,htmlLink
bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa,bafkreif7ywbjxu3s6jfi6ginvmsufeux3cd5eujuivg2y7tmqt2qk4rsoe,bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa,"/content/output/52434205310037080/bafkreif7ywbjxu3s6jfi6ginvmsufeux3cd5eujuivg2y7tmqt2qk4rsoe.json",2025-07-23T22:17:32.114Z,http://dweb.link/ipfs/bafkreifj52cmh6ydot34e5yjp5dv2l76csqzymelaay2p7dqbhgvvlycsa
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreif7ywbjxu3s6jfi6ginvmsufeux3cd5eujuivg2y7tmqt2qk4rsoe,bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,"/content/output/30434108090030050/bafkreif7ywbjxu3s6jfi6ginvmsufeux3cd5eujuivg2y7tmqt2qk4rsoe.json",2025-07-23T22:17:32.171Z,http://dweb.link/ipfs/bafkreidxpmv74ahszkhcz5k2a4z5wanhu3pmrqvypuoyucecj6k3xfljca
